Player,Position,Age,Tm,Lg,Season,G_total_player,GS_total_player,MP_total_player,FGM_total_player,FGA_total_player,TWOPM_total_player,TWOPA_total_player,THREEPM_total_player,THREEPA_total_player,FT_total__player,FTA_total_player,ORB_total_player,DRB_total__player,TRB_total_player,AST_total_player,STL_total_player,BLK_total_player,TOV_total_player,PF_total_player,PTS_total_player,FGpercent_player,FGpercent_1_player,USGpercent_1_player,USGpercent_player,TWOPpercent_player,THREEPpercent_player,eFGpercent_player,FTpercent_player,TSpercent_player,FGA2PTpercent_player,FGA3PTpercent_player,PTS2PTpercent_player,PTS2PTpercent MR_player,TWOPTpercentTHREEPT_player,PTSFBPSpercent_player,PTSFTpercent_player,PTSOFFTOpercent_player,PTSPITPpercent_player,TWOFGMpercentAST_player,TWOFGMpercentAST_1_player,UASTpercent_player,THREEFGMpercentAST_player,THREEFGMpercentAST_1_player,THREEFGMpercentUAST_player,THREEFGMpercentUAST_1_player,FGMpercentAST_player,FGMpercentUAST_player,FGM_pg_player,FGA_pg_player,FGpercent_pg_player,THREEPM_pg_player,THREEPA_pg_player,THREEPpercent_pg_player,TWOPM_pg_player,FTM_pg_player,FTA_pg_player,FTpercent_pg_player,FTpercent_pg_1_player,OREB_pg_player,DREB_pg_player,PTS_pg_player,REB_pg_player,AST_pg_player,TOV_pg_player,STL_pg_player,BLK_pg_player,ORBpercent_team,ORBpercent_1_player,Ortg_team,Ortg_1_team,ORB_pg_team,FTA_pg_team,FGA_pg_team,TO_pg_team,PTS_pg_team,PTS_total_team
Shareef Abdur-Rahim,PF,30,SAC,NBA,2007,80,45,2015,310,654,307,634,3,20,170,234,122,276,398,109,53,40,116,243,793,0.474,47.4,19.6,0.196,0.484,0.15,0.476,0.726,0.524,96.9,3.1,77.4,18.9,1.1,5,21.4,17.4,58.5,54.1,0.541,45.9,100,1,0,0,54.5,45.5,3.9,8.2,47.4,0,0.3,15,3.8,2.1,2.9,72.6,0.726,1.5,3.5,9.9,5,1.4,1.5,0.7,0.5,23.1,0.231,106.2,1.062,9.7,30.2,79.7,14.6,101.3,8303
Hassan Adams,SF,22,NJN,NBA,2007,61,8,495,75,135,75,134,0,1,24,36,35,42,77,13,17,4,22,47,174,0.556,55.6,16.4,0.164,0.56,0,0.556,0.667,0.577,99.3,0.7,86.2,17.2,0,27.6,13.8,28.2,69,74.7,0.747,25.3,0,0,0,0,74.7,25.3,1.2,2.2,55.6,0,0,0,1.2,0.4,0.6,66.7,0.667,0.6,0.7,2.9,1.3,0.2,0.4,0.3,0.1,24.6,0.246,105.7,1.057,10,26.3,77.8,14.8,97.6,8001
Maurice Ager,SF,22,DAL,NBA,2007,32,1,214,22,70,17,55,5,15,20,33,1,20,21,7,4,3,15,27,69,0.314,31.4,21.4,0.214,0.309,0.333,0.35,0.606,0.408,78.6,21.4,49.3,26.1,21.7,7.2,29,23.2,23.2,23.5,0.235,76.5,40,0.4,60,0.6,27.3,72.7,0.7,2.2,31.4,0.2,0.5,33.3,0.5,0.6,1,60.6,0.606,0,0.6,2.2,0.7,0.2,0.5,0.1,0.1,28.7,0.287,111.3,1.113,11.2,24.9,78.6,13.9,100,8201
LaMarcus Aldridge,PF,21,POR,NBA,2007,63,22,1392,241,479,241,477,0,2,83,115,144,168,312,24,22,73,43,186,565,0.503,50.3,19.1,0.191,0.505,0,0.503,0.722,0.533,99.6,0.4,85.3,29,0,11.2,14.7,17.5,56.3,68,0.68,32,0,0,0,0,68,32,3.8,7.6,50.3,0,0,0,3.8,1.3,1.8,72.2,0.722,2.3,2.7,9,5,0.4,0.7,0.3,1.2,28.2,0.282,105.1,1.051,11.3,24.5,78,15.1,94.1,7717
Malik Allen,PF,28,CHI,NBA,2007,60,1,638,107,258,107,257,0,1,28,34,42,77,119,16,17,16,21,85,242,0.415,41.5,20.7,0.207,0.416,0,0.415,0.824,0.443,99.6,0.4,88.4,55.4,0,3.3,11.6,19,33.1,71,0.71,29,0,0,0,0,71,29,1.8,4.3,41.5,0,0,0,1.8,0.5,0.6,82.4,0.824,0.7,1.3,4,2,0.3,0.4,0.3,0.3,28.6,0.286,104.9,1.049,12,25.4,81.3,16,98.8,8100
Ray Allen,SG,31,SEA,NBA,2007,55,55,2219,505,1153,340,710,165,443,279,309,57,190,247,228,82,11,154,113,1454,0.438,43.8,29.3,0.293,0.479,0.372,0.51,0.903,0.564,61.6,38.4,46.8,21.6,34,11.3,19.2,14.2,25.2,30.6,0.306,69.4,80.6,0.806,19.4,0.194,46.9,53.1,9.2,21,43.8,3,8.1,37.2,6.2,5.1,5.6,90.3,0.903,1,3.5,26.4,4.5,4.1,2.8,1.5,0.2,27.8,0.278,107.2,1.072,11.3,23.3,80.8,15.5,99.1,8130
Tony Allen,SG,25,BOS,NBA,2007,33,18,805,133,259,125,226,8,33,105,134,35,89,124,56,49,12,75,87,379,0.514,51.4,22,0.22,0.553,0.242,0.529,0.784,0.596,87.3,12.7,66,8.4,6.3,22.2,27.7,27.2,57.5,44.8,0.448,55.2,87.5,0.875,12.5,0.125,47.4,52.6,4,7.8,51.4,0.2,1,24.2,3.8,3.2,4.1,78.4,0.784,1.1,2.7,11.5,3.8,1.7,2.3,1.5,0.4,27,0.27,103.2,1.032,11.2,26.6,78.7,16.5,95.8,7857
Rafer Alston,PG,30,HOU,NBA,2007,82,82,3040,383,1020,191,491,192,529,130,177,29,253,282,444,129,10,170,195,1088,0.375,37.5,19.3,0.193,0.389,0.363,0.47,0.734,0.496,48.1,51.9,35.1,7.7,52.9,11.5,11.9,18.8,27.4,27.2,0.272,72.8,79.7,0.797,20.3,0.203,53.5,46.5,4.7,12.4,37.5,2.3,6.5,36.3,2.3,1.6,2.2,73.4,0.734,0.4,3.1,13.3,3.4,5.4,2.1,1.6,0.1,25.7,0.257,106,1.06,10.7,23.2,79.6,14.2,97,7953
Lou Amundson,PF,24,TOT,NBA,2007,11,0,89,6,15,6,15,0,0,4,10,13,15,28,1,1,8,5,15,16,0.4,40,12,0.12,0.4,,0.4,0.4,0.412,100,0,75,0,0,12.5,25,25,75,83.3,0.833,16.7,0,0,0,0,83.3,16.7,0.5,1.4,40,0,0,0,0.5,0.4,0.9,40,0.4,1.2,1.4,1.5,2.5,0.1,0.5,0.1,0.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Alan Anderson,SG,24,CHA,NBA,2007,17,0,256,37,81,32,61,5,20,19,23,11,21,32,21,7,0,22,33,98,0.457,45.7,20.2,0.202,0.525,0.25,0.488,0.826,0.538,75.3,24.7,65.3,20.4,15.3,8.2,19.4,31.6,44.9,40.6,0.406,59.4,100,1,0,0,48.6,51.4,2.2,4.8,45.7,0.3,1.2,25,1.9,1.1,1.4,82.6,0.826,0.6,1.2,5.8,1.9,1.2,1.3,0.4,0,26.4,0.264,103.6,1.036,11.2,26,81,14.9,96.9,7945
Derek Anderson,SG,32,CHA,NBA,2007,50,32,1190,126,294,72,142,54,152,93,106,29,84,113,133,52,7,56,115,399,0.429,42.9,15.3,0.153,0.507,0.355,0.52,0.877,0.586,48.3,51.7,36.1,16,40.6,11,23.3,19.8,20.1,58.3,0.583,41.7,92.6,0.926,7.4,0.074,73,27,2.5,5.9,42.9,1.1,3,35.5,1.4,1.9,2.1,87.7,0.877,0.6,1.7,8,2.3,2.7,1.1,1,0.1,26.4,0.264,103.6,1.036,11.2,26,81,14.9,96.9,7945
Carmelo Anthony,SF,22,DEN,NBA,2007,65,65,2486,691,1453,651,1304,40,149,459,568,143,248,391,249,77,23,234,203,1881,0.476,47.6,33.5,0.335,0.499,0.268,0.489,0.808,0.552,89.7,10.3,69.2,21.8,6.4,18.8,24.4,18,47.4,58.4,0.584,41.6,87.5,0.875,12.5,0.125,60.1,39.9,10.6,22.4,47.6,0.6,2.3,26.8,10,7.1,8.7,80.8,0.808,2.2,3.8,28.9,6,3.8,3.6,1.2,0.4,28.9,0.289,107.6,1.076,12.2,29.9,83,16.5,105.4,8639
Rafael Araujo,C,26,UTA,NBA,2007,28,0,248,27,65,27,65,0,0,18,29,22,44,66,10,6,2,17,39,72,0.415,41.5,16.6,0.166,0.415,,0.415,0.621,0.463,100,0,75,27.8,0,2.8,25,11.1,47.2,70.4,0.704,29.6,0,0,0,0,70.4,29.6,1,2.3,41.5,0,0,0,1,0.6,1,62.1,0.621,0.8,1.6,2.6,2.4,0.4,0.6,0.2,0.1,31.7,0.317,110.1,1.101,12.6,30,78.9,15.6,101.5,8322
Gilbert Arenas,PG,25,WAS,NBA,2007,74,73,2942,647,1548,442,964,205,584,606,718,61,277,338,443,139,13,236,249,2105,0.418,41.8,30.7,0.307,0.459,0.351,0.484,0.844,0.565,62.3,37.7,42,18.9,29.2,14.8,28.8,16.5,23.1,25.1,0.251,74.9,58,0.58,42,0.42,35.5,64.5,8.7,20.9,41.8,2.8,7.9,35.1,6,8.2,9.7,84.4,0.844,0.8,3.7,28.4,4.6,6,3.2,1.9,0.2,28.1,0.281,110.1,1.101,12.2,29.6,83.2,13.8,104.3,8556
Trevor Ariza,SF,21,ORL,NBA,2007,57,7,1278,200,371,200,364,0,7,106,171,98,151,249,65,59,19,84,134,506,0.539,53.9,19,0.19,0.549,0,0.539,0.62,0.567,98.1,1.9,79.1,13,0,25.1,20.9,26.7,66,58.5,0.585,41.5,0,0,0,0,58.5,41.5,3.5,6.5,53.9,0,0.1,0,3.5,1.9,3,62,0.62,1.7,2.6,8.9,4.4,1.1,1.5,1,0.3,29.3,0.293,104.9,1.049,11.2,29.2,74.3,17,94.8,7771
Darrell Armstrong,PG,38,IND,NBA,2007,81,4,1275,156,377,84,163,72,214,73,93,34,101,135,191,70,6,76,102,457,0.414,41.4,17.4,0.174,0.515,0.336,0.509,0.785,0.547,43.2,56.8,36.8,14.9,47.3,20.1,16,25.6,21.9,45.2,0.452,54.8,73.6,0.736,26.4,0.264,58.3,41.7,1.9,4.7,41.4,0.9,2.6,33.6,1,0.9,1.1,78.5,0.785,0.4,1.2,5.6,1.7,2.4,0.9,0.9,0.1,28.4,0.284,102.9,1.029,12.1,25.9,80,16.3,95.6,7840
Hilton Armstrong,PF,22,NOK,NBA,2007,56,5,634,68,125,68,125,0,0,40,67,58,91,149,10,12,26,35,79,176,0.544,54.4,14.1,0.141,0.544,,0.544,0.597,0.57,100,0,77.3,14.8,0,6.8,22.7,21,62.5,52.9,0.529,47.1,0,0,0,0,52.9,47.1,1.2,2.2,54.4,0,0,0,1.2,0.7,1.2,59.7,0.597,1,1.6,3.1,2.7,0.2,0.6,0.2,0.5,29.1,0.291,104.8,1.048,12.5,23.7,81.4,14.5,95.5,7833
Carlos Arroyo,PG,27,ORL,NBA,2007,72,5,1304,203,478,189,427,14,51,132,166,31,103,134,202,39,2,90,131,552,0.425,42.5,23,0.23,0.443,0.275,0.439,0.795,0.501,89.3,10.7,68.5,44.7,7.6,17,23.9,20.1,23.7,19.6,0.196,80.4,92.9,0.929,7.1,0.071,24.6,75.4,2.8,6.6,42.5,0.2,0.7,27.5,2.6,1.8,2.3,79.5,0.795,0.4,1.4,7.7,1.9,2.8,1.3,0.5,0,29.3,0.293,104.9,1.049,11.2,29.2,74.3,17,94.8,7771
Chucky Atkins,PG,32,MEM,NBA,2007,75,23,2064,310,715,194,409,116,306,252,311,18,121,139,346,50,4,127,136,988,0.434,43.4,21.3,0.213,0.474,0.379,0.515,0.81,0.58,57.2,42.8,39.3,13.4,35.2,19.2,25.5,12.6,25.9,11.3,0.113,88.7,76.7,0.767,23.3,0.233,35.8,64.2,4.1,9.5,43.4,1.5,4.1,37.9,2.6,3.4,4.1,81,0.81,0.2,1.6,13.2,1.9,4.6,1.7,0.7,0.1,25.9,0.259,106.9,1.069,10.6,29.4,78.6,16.4,101.6,8331
James Augustine,PF,22,ORL,NBA,2007,2,0,7,1,3,1,3,0,0,0,0,1,2,3,2,0,0,0,2,2,0.333,33.3,20.2,0.202,0.333,,0.333,,0.333,100,0,100,0,0,0,0,0,100,100,1,0,0,0,0,0,100,0,0.5,1.5,33.3,0,0,0,0.5,0,0,0,0,0.5,1,1,1.5,1,0,0,0,29.3,0.293,104.9,1.049,11.2,29.2,74.3,17,94.8,7771
Kelenna Azubuike,SF,23,GSW,NBA,2007,41,9,669,98,220,64,141,34,79,61,78,26,68,94,28,22,10,39,49,291,0.445,44.5,18.7,0.187,0.454,0.43,0.523,0.782,0.572,64.1,35.9,44,9.6,35.1,19.9,21,25.1,34.4,53.1,0.531,46.9,97.1,0.971,2.9,0.029,68.4,31.6,2.4,5.4,44.5,0.8,1.9,43,1.6,1.5,1.9,78.2,0.782,0.6,1.7,7.1,2.3,0.7,1,0.5,0.2,25.6,0.256,107,1.07,11.5,25.8,86,16,106.5,8737
Renaldo Balkman,SF,22,NYK,NBA,2007,68,1,1064,139,275,134,248,5,27,51,90,97,197,294,44,57,44,49,146,334,0.505,50.5,15.4,0.154,0.54,0.185,0.515,0.567,0.531,90.2,9.8,80.2,2.4,4.5,23.7,15.3,27.8,77.8,60.4,0.604,39.6,100,1,0,0,61.9,38.1,2,4,50.5,0.1,0.4,18.5,2,0.8,1.3,56.7,0.567,1.4,2.9,4.9,4.3,0.6,0.7,0.8,0.6,31,0.31,105.7,1.057,12.6,29.2,77.5,17.1,97.5,7994
Marcus Banks,PG,25,PHO,NBA,2007,45,1,503,84,196,79,167,5,29,48,60,10,28,38,60,23,3,40,70,221,0.429,42.9,23.7,0.237,0.473,0.172,0.441,0.8,0.497,85.2,14.8,71.5,29,6.8,23.1,21.7,27.6,42.5,44.3,0.443,55.7,40,0.4,60,0.6,44,56,1.9,4.4,42.9,0.1,0.6,17.2,1.8,1.1,1.3,80,0.8,0.2,0.6,4.9,0.8,1.3,0.9,0.5,0.1,22.7,0.227,113.9,1.139,9,22.3,83.6,14.5,110.2,9037
Leandro Barbosa,SG,24,PHO,NBA,2007,80,18,2613,529,1111,339,673,190,438,196,232,22,192,214,317,96,15,146,210,1444,0.476,47.6,23.4,0.234,0.504,0.434,0.562,0.845,0.595,60.6,39.4,47,13.6,39.5,23.8,13.6,15.4,33.4,47.8,0.478,52.2,87.9,0.879,12.1,0.121,62.2,37.8,6.6,13.9,47.6,2.4,5.5,43.4,4.2,2.5,2.9,84.5,0.845,0.3,2.4,18.1,2.7,4,1.8,1.2,0.2,22.7,0.227,113.9,1.139,9,22.3,83.6,14.5,110.2,9037
J.J Barea,#N/A,22,DAL,NBA,2007,33,1,191,28,78,22,57,6,21,16,24,7,18,25,24,1,1,14,19,78,0.359,35.9,#N/A,#N/A,0.386,0.286,0.397,0.667,0.44,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,28.7,0.287,111.3,1.113,11.2,24.9,78.6,13.9,100,8201
Andrea Bargnani,C,21,TOR,NBA,2007,65,2,1629,267,625,167,357,100,268,117,142,52,203,255,50,32,53,107,180,751,0.427,42.7,22.6,0.226,0.468,0.373,0.507,0.824,0.546,57.1,42.9,44.5,23.2,39.9,6.4,15.6,14.9,21.3,70.1,0.701,29.9,91,0.91,9,0.09,77.9,22.1,4.1,9.6,42.7,1.5,4.1,37.3,2.6,1.8,2.2,82.4,0.824,0.8,3.1,11.6,3.9,0.8,1.6,0.5,0.8,22.2,0.222,107,1.07,9.2,24.2,79.8,13.5,99.5,8157
