Player,Age,Tm,Lg,Season,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,%FGA2PT,%FGA3PT,%PTS2PT,%PTS2PT MR,2PT%3PT,%PTSFBPS,%PTSFT,%PTSOFFTO,%PTSPITP,2FGM%AST,%UAST,3FGM%AST,3FGM%UAST,FGM%AST,FGM%UAST,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
Alex Abrines,23,OKC,NBA,2016-17,63,6,984,122,312,38,85,84,227,44,49,15,62,77,38,36,7,28,111,372,0.391,0.447,0.37,0.526,0.898,0.558,26.9,73.1,20.1,5.1,68.6,18.5,11.3,15.7,14.9,61.5,38.5,96.6,3.4,85.9,14.1,1.9,5,39.1,1.3,3.6,37.2,0.7,0.7,89.8,0.2,1,1.2,0.6,0.5,0.5,0.1,1.7,0,0,-0.2
Quincy Acy,26,TOT,NBA,2016-17,34,1,498,66,152,31,72,35,80,45,60,18,84,102,16,13,14,18,60,212,0.434,0.431,0.438,0.549,0.75,0.594,47.1,52.9,29.7,5.4,50,2.7,20.3,17.1,24.3,72.7,27.3,97.3,2.7,85.7,14.3,1.8,4.5,41.2,1,2.4,41.1,1.2,1.6,75,0.5,2.5,3,0.5,0.6,0.4,0.4,1.8,0,0,-1
Steven Adams,23,OKC,NBA,2016-17,72,72,2169,345,596,345,594,0,2,146,240,244,306,550,78,79,74,132,173,836,0.579,0.581,0,0.579,0.608,0.596,99.8,0.2,82.3,0.7,0,9,17.7,10.5,81.6,67.4,32.6,0,0,67.4,32.6,4.7,8.2,56.9,0,0,0,2,3.3,61.1,3.5,4.2,7.7,1.1,1.8,1.1,1,2.4,16,0,2.6
Arron Afflalo,31,SAC,NBA,2016-17,58,43,1500,171,398,113,253,58,145,79,88,9,110,119,69,21,6,38,100,479,0.43,0.447,0.4,0.503,0.898,0.548,63.1,36.9,46.3,21.7,37.4,5.4,16.3,12.1,24.5,50.4,49.6,96.8,3.2,66.7,33.3,3,6.8,43.3,1,2.5,41.1,1.4,1.5,89,0.2,1.9,2.1,1.2,0.7,0.4,0.1,1.7,0,0,-3.8
Alexis Ajinca,28,NOP,NBA,2016-17,34,12,475,64,133,64,130,0,3,22,31,39,105,144,10,17,20,26,62,150,0.481,0.492,0,0.481,0.71,0.511,97.5,2.5,86.8,22,0,1.6,13.2,7.7,64.8,81,19,0,0,81,19,2.1,4.3,50,0,0.1,0,0.6,0.9,72.7,1.2,3.2,4.4,0.3,0.7,0.5,0.6,1.9,1,0,-1.7
Cole Aldrich,28,MIN,NBA,2016-17,60,0,509,43,80,43,80,0,0,15,22,49,104,153,25,25,23,16,84,101,0.538,0.538,,0.538,0.682,0.563,100,0,85.4,0,0,1.9,14.6,14.6,85.4,75,25,0,0,75,25,0.7,1.4,52.4,0,0,0,0.2,0.4,68.2,0.8,1.7,2.5,0.4,0.3,0.4,0.4,1.4,1,0,-0.8
LaMarcus Aldridge,31,SAS,NBA,2016-17,66,66,2153,462,973,440,923,22,50,212,259,162,329,491,136,38,78,92,145,1158,0.475,0.477,0.44,0.486,0.819,0.533,94.7,5.3,76.3,36.9,5.7,4.6,18,14.2,39.4,57.9,42.1,95.7,4.3,59.7,40.3,6.9,14.7,47.3,0.3,0.8,42.6,3.1,3.8,81,2.4,4.9,7.3,2,1.4,0.6,1.2,2.2,18,0,4
Lavoy Allen,27,IND,NBA,2016-17,56,5,816,70,157,70,156,0,1,21,31,96,107,203,54,20,22,25,73,161,0.446,0.449,0,0.446,0.677,0.472,99.4,0.6,86.9,24,0,5.1,13.1,13.1,62.9,75,25,0,0,75,25,1.3,2.8,45.8,0,0,0,0.4,0.6,69.7,1.7,1.9,3.6,0.9,0.5,0.3,0.4,1.3,2,0,-2
Tony Allen,35,MEM,NBA,2016-17,65,60,1781,250,551,236,502,14,49,79,128,155,205,360,88,108,28,97,166,593,0.454,0.47,0.286,0.466,0.617,0.488,90.9,9.1,80.4,3.8,7,20.7,12.5,21,76.7,55.6,44.4,100,0,58.1,41.9,3.9,8.4,46,0.2,0.8,27.8,1.1,1.9,61.5,2.3,3.2,5.6,1.4,1.4,1.6,0.4,2.5,5,0,-0.2
Al-Farouq Aminu,26,POR,NBA,2016-17,54,23,1555,157,399,99,220,58,179,80,115,64,338,402,91,50,37,87,91,452,0.393,0.45,0.324,0.466,0.696,0.503,54.8,45.2,42.9,4.6,39.3,9.1,17.8,11.4,38.3,46,54,100,0,66.5,33.5,3,7.7,39.6,1.2,3.5,33.2,1.6,2.2,70.1,1.3,6.2,7.5,1.6,1.6,1,0.7,1.7,4,0,0.5
