Season,Tm,ORB%,ORtg,ORB/gm,FTA/gm,FGA/gm,TO/gm
2016-17,Atlanta,23.7,104.9,10.3,25,84.6,15.2
2016-17,Boston,21.2,111.1,9.1,23.2,85,12.7
2016-17,Brooklyn,19.6,104.5,8.8,24.5,85.2,16
2016-17,Charlotte,19.8,109.3,8.7,24,85.4,11
2016-17,Chicago,27,107.1,12.2,22.6,87,13
2016-17,Cleveland,22,113.9,9.4,23.3,85,13.1
2016-17,Dallas,18.2,105.7,7.9,18.4,82.3,11.2
2016-17,Denver,27.5,113.4,11.9,24.3,87.8,14.4
2016-17,Detroit,24.2,106,11.1,19.4,88.5,11.4
2016-17,Golden State,22.8,115.8,9.4,22.6,87.1,14.4
2016-17,Houston,24.6,114.9,10.8,26.6,87.1,14.5
2016-17,Indiana,21.1,108.3,9,22.1,84.6,13.3
2016-17,LA Clippers,21.4,112.3,8.9,25.9,83.1,12.6
2016-17,La Lakers,25.1,106.2,11.4,22.7,87.3,14.6
2016-17,Memphis,24.6,107.7,10.7,23.4,83.6,12.4
2016-17,Miami,24.2,107.7,10.6,21.5,85.7,12.5
2016-17,Milwaukee,21.5,109.3,8.8,22.7,81.9,13.3
2016-17,Minnesota,27.3,110.8,11.5,24.3,84.3,13.4
2016-17,New Orleans,18.6,105.4,8.6,22.3,87,12.3
2016-17,New York,26.4,107.6,11.9,21,88.6,13.1
2016-17,Oklahoma City,27.8,108.4,12.1,25.9,87.3,14.6
2016-17,Orlando,21.7,103.9,9.9,21.5,87,12.8
2016-17,Philadelphia,22.1,102.8,9.8,21.9,85.3,16
2016-17,Portland,22.8,110.4,11.8,26.4,88.3,15
2016-17,Portland,26,106.7,10.1,23.9,86.1,13.1
2016-17,Sacramento,21,107.1,8.8,23.2,82.1,14.2
2016-17,San Antonio,23.8,111.2,9.9,22.2,83.7,12.8
2016-17,Toronto,24.9,112.3,10.6,24.8,84.3,11.9
2016-17,Utah,23.2,109.5,9.4,23,79.3,12.9
2016-17,Washington,24.2,111.3,10.3,22.3,87.1,13.5
