Player,TEAM,AGE,GP,W,L,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM
Aaron Brooks,IND,32,63,34,29,13.7,57.6,42.4,45.9,17.8,43.9,7.6,10.2,12.7,28,9.7,90.3,56.5,43.5,28,72
Aaron Gordon,ORL,21,78,28,50,28.6,69,31,62.2,13.3,22.7,17.5,15,17.1,48.9,50.3,49.7,86.5,13.5,57.4,42.6
Aaron Harrison,CHA,22,5,2,3,3.3,50,50,0,0,0,0,100,0,0,0,0,0,0,0,0
Adreian Payne,MIN,26,17,5,12,7.6,72.2,27.8,63.5,25.4,14.3,6.3,22.2,17.5,38.1,65,35,100,0,69.6,30.4
AJ Hammons,DAL,24,20,3,17,7.2,73,27,47.4,21.1,39.5,5.3,13.2,13.2,26.3,88.9,11.1,100,0,92.9,7.1
Al Horford,BOS,30,66,44,22,32.4,69.5,30.5,61,19.3,27.7,4.5,11.3,10.9,41.7,58,42,97.6,2.4,67.2,32.8
Al Jefferson,IND,32,66,33,33,14.1,99.8,0.2,87.9,17.9,0,0.7,12.1,13.1,69.9,53.6,46.4,0,0,53.6,46.4
Alan Anderson,LAC,34,30,20,10,10.3,45,55,37.2,7,48.8,0,14,19.8,30.2,56.3,43.8,85.7,14.3,70,30
Alan Williams,PHX,24,46,11,35,14.8,99.6,0.4,78.9,3,0,13.9,21.1,10.8,75.9,72.5,27.5,0,0,72.5,27.5
Alec Burks,UTA,25,40,24,16,15.7,69.4,30.6,52.7,18.1,26,14.4,21.3,16.2,34.7,30.1,69.9,83.3,16.7,43.3,56.7
Alex Abrines,OKC,23,66,36,30,15.5,26.9,73.1,20.1,5.1,68.6,18.5,11.3,15.7,14.9,61.5,38.5,96.6,3.4,85.9,14.1
Alex Len,PHX,23,76,21,55,20.3,97.4,2.6,73.9,9.2,1.5,6.4,24.6,10.8,64.7,63.1,36.9,100,0,63.6,36.4
Alex Poythress,PHI,23,4,0,4,25.5,71.9,28.1,64.5,12.9,9.7,0,25.8,29,51.6,80,20,100,0,81.8,18.2
Alexis Ajinca,NOP,28,37,14,23,14.5,97.5,2.5,86.8,22,0,1.6,13.2,7.7,64.8,81,19,0,0,81,19
