Player,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,2PM,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,DD2 RANK,TD3 RANK,+/- RANK
Aaron Brooks,IND,32,63,34,29,13.7,5,1.9,4.7,40,0.7,2,1.1,36.8,0.5,0.6,80,0.3,0.8,1.1,2,1,0.4,0.1,1.4,0,0,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Gordon,ORL,21,78,28,50,28.6,12.5,4.8,10.8,45.1,0.9,3.3,4.0,28.5,1.9,2.7,70.7,1.4,3.5,5,1.9,1.1,0.8,0.5,2.2,6,0,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Harrison,CHA,22,5,2,3,3.3,0.2,0,0.8,0,0,0.4,0.0,0,0.2,0.4,50,0,0.6,0.6,0.6,0,0,0,0.4,0,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,
Adreian Payne,MIN,26,17,5,12,7.6,3.7,1.4,3.2,42.6,0.2,0.9,1.1,20,0.8,1.1,73.7,0.5,1.4,1.9,0.4,0.5,0.5,0.4,1.9,0,0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,
AJ Hammons,DAL,24,20,3,17,7.2,1.9,0.7,1.9,37.8,0.3,0.5,0.5,50,0.3,0.7,35.7,0.4,1.3,1.7,0.2,0.4,0.1,0.6,1,0,0,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
Al Horford,BOS,30,66,44,22,32.4,14,5.5,11.8,47.2,1.3,3.6,4.3,35.9,1.6,2,80.6,1.4,5.4,6.8,5,1.7,0.7,1.3,2,8,0,3,,,,,,,,,,,,,,,,,,,,,,,,,
Al Jefferson,IND,32,66,33,33,14.1,8.1,3.6,7.1,49.9,0,0,3.6,0,1,1.3,76.5,1.1,3.1,4.2,0.9,0.5,0.3,0.2,1.9,1,0,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,
Alan Anderson,LAC,34,30,20,10,10.3,2.9,1,2.7,37.5,0.5,1.5,0.5,31.8,0.4,0.5,75,0.1,0.7,0.8,0.4,0.2,0.1,0,1.2,0,0,-2.6,,,,,,,,,,,,,,,,,,,,,,,,,
Alan Williams,PHX,24,46,11,35,14.8,7.2,2.8,5.6,51,0,0,2.9,0,1.5,2.4,62.5,2,4.1,6.1,0.5,0.8,0.6,0.7,2.6,14,0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,
Alec Burks,UTA,25,40,24,16,15.7,6.9,2.4,6.1,40.1,0.6,1.9,1.8,32.4,1.5,1.9,76.6,0.4,2.4,2.8,0.8,0.9,0.5,0.1,1.2,0,0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Abrines,OKC,23,66,36,30,15.5,5.9,1.9,5,39.1,1.3,3.6,0.6,37.2,0.7,0.7,89.8,0.2,1,1.2,0.6,0.5,0.5,0.1,1.7,0,0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Len,PHX,23,76,21,55,20.3,8,3,6,50,0,0.2,2.9,25,2,2.7,72.1,2,4.6,6.6,0.6,1.3,0.5,1.3,3.1,11,0,-5,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Poythress,PHI,23,4,0,4,25.5,7.8,2.8,8,34.4,0.3,2.3,3.2,11.1,2,2.5,80,2,3.3,5.3,1,0.5,0.3,0.3,2.5,0,0,-6.3,,,,,,,,,,,,,,,,,,,,,,,,,
Alexis Ajinca,NOP,28,37,14,23,14.5,4.9,2.1,4.3,50,0,0.1,2.3,0,0.6,0.9,72.7,1.2,3.2,4.4,0.3,0.7,0.5,0.6,1.9,1,0,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Farouq Aminu,POR,26,60,32,28,29.1,8.8,3,7.7,39.6,1.2,3.5,1.9,33.2,1.6,2.2,70.1,1.3,6.2,7.5,1.6,1.6,1,0.7,1.7,4,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
Allen Crabbe,POR,25,79,39,40,28.5,10.7,3.8,8.2,46.8,1.7,3.8,2.1,44.4,1.3,1.6,84.7,0.2,2.6,2.9,1.2,0.8,0.7,0.3,2.2,0,0,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,
Alonzo Gee,DEN,29,13,4,9,6.9,0.8,0.2,1.1,21.4,0,0.2,0.2,0,0.4,0.7,55.6,0.3,0.8,1.2,0.5,0.3,0.4,0.1,1.1,0,0,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,
Amir Johnson,BOS,29,78,49,29,20.2,6.4,2.6,4.6,57.5,0.3,0.8,2.3,39.7,0.8,1.2,67,1.5,3.1,4.6,1.8,1,0.6,0.8,2.6,0,0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson Varejao,GSW,34,14,12,2,6.6,1.3,0.4,1,35.7,0,0,0.4,0,0.6,0.8,72.7,0.9,1.1,1.9,0.7,0.6,0.2,0.2,1.1,0,0,-2.1,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Drummond,DET,23,79,36,43,29.9,13.7,6,11.3,53,0,0.1,5.9,28.6,1.7,4.5,38.6,4.3,9.6,13.8,1.1,1.9,1.5,1.1,2.9,49,0,-3.4,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Iguodala,GSW,33,75,64,11,26.3,7.6,2.9,5.5,52.9,0.9,2.3,2.0,36.4,1,1.3,72,0.7,3.3,4,3.5,0.7,1,0.5,1.3,0,0,7.1,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Roberson,OKC,25,79,46,33,30.1,6.6,2.7,5.9,46.4,0.6,2.3,2.2,24.5,0.6,1.4,42.3,1.2,3.9,5.1,1,0.6,1.2,1,2.6,2,0,1.8,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Bogut,CLE,32,27,8,19,21.6,2.9,1.4,3,46.9,0,0,1.4,0,0.1,0.4,27.3,2.1,6,8.1,1.8,1.6,0.5,0.9,3.2,0,0,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Harrison,MEM,22,71,38,33,20.4,5.9,1.6,5,32.5,0.6,2.2,1.0,28.1,2,2.6,76.6,0.3,1.5,1.9,2.8,1.2,0.7,0.3,2.7,0,0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Nicholson,BKN,27,36,20,16,8.7,2.7,1.2,2.9,40.8,0.1,0.7,1.0,20.8,0.3,0.4,64.3,0.4,1.1,1.5,0.3,0.4,0.4,0.2,1.4,0,0,-2.6,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Wiggins,MIN,22,80,31,49,37.3,23.7,8.7,19.1,45.4,1.3,3.5,7.4,35.7,5.1,6.6,76.4,1.3,2.8,4,2.3,2.3,1,0.4,2.2,1,0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Bennett,BKN,24,23,3,20,11.5,5,1.7,4,41.3,0.6,2.1,1.1,27.1,1.1,1.6,72.2,1.1,2.3,3.4,0.5,0.5,0.2,0.1,0.8,0,0,-3,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Brown,ORL,24,11,3,8,14.5,3.9,1.6,4.5,36,0.6,2.5,1.0,25.9,0,0,0,0.7,2.3,3,0.7,0.5,0.5,0.1,1.4,0,0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Davis,NOP,24,75,31,44,36.1,28,10.3,20.3,50.5,0.5,1.8,9.7,29.9,6.9,8.6,80.2,2.3,9.5,11.8,2.1,2.4,1.3,2.2,2.2,49,0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Morrow,CHI,31,47,23,24,15,5.6,2,5.3,38.5,0.8,2.8,1.2,30,0.7,0.8,91.9,0.3,0.4,0.7,0.5,0.1,0.5,0,0.9,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Tolliver,SAC,31,64,25,39,22.7,7,2.4,5.4,44.1,1.4,3.5,1.0,38.9,0.9,1.2,73.3,0.8,2.8,3.6,1.2,0.9,0.5,0.3,1.7,1,0,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,
Archie Goodwin,BKN,22,13,8,5,13.1,6.7,2.2,3.9,54.9,0.3,0.9,2.1,33.3,2.1,2.5,84.4,0.2,1.2,1.5,1.5,0.5,0.2,0.3,0.4,0,0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,
Arinze Onuaku,ORL,29,8,3,5,3.5,0.5,0.3,0.5,50,0,0,0.3,0,0,0,0,0.3,0.5,0.8,0.3,0.3,0,0.1,0.4,0,0,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,
Aron Baynes,DET,30,75,34,41,15.5,4.9,1.9,3.7,51.3,0,0,1.9,0,1.1,1.3,84,1.5,3,4.4,0.4,0.7,0.2,0.5,2.2,2,0,1.8,,,,,,,,,,,,,,,,,,,,,,,,,
Arron Afflalo,SAC,31,60,23,37,25.8,8.3,3,6.8,43.3,1,2.5,2.0,41.1,1.4,1.5,89,0.2,1.9,2.1,1.2,0.7,0.4,0.1,1.7,0,0,-3.8,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Rivers,LAC,24,74,43,31,27.8,12,4.4,9.9,44.2,1.5,4,2.9,37.1,1.8,2.6,69.1,0.3,1.9,2.2,2.8,1.6,0.6,0.1,2.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Avery Bradley,BOS,26,53,32,21,33.4,16.4,6.6,14.3,46,2,5.1,4.6,39,1.3,1.7,72.8,1.2,5,6.2,2.2,1.7,1.3,0.2,2.6,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
Axel Toupane,MIL,24,2,1,1,3,0,0,0.5,0,0,0.5,1.0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,-4.5,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Bentil,DAL,22,3,2,1,3.3,0,0,1,0,0,0.3,0.0,0,0,0,0,0,0.7,0.7,0,0.3,0,0,0.3,0,0,-4,,,,,,,,,,,,,,,,,,,,,,,,,
Ben McLemore,SAC,24,59,26,33,19,7.9,2.9,6.8,42.9,1.1,2.8,1.9,38.8,1,1.4,76.3,0.3,1.6,1.9,0.8,1.1,0.5,0.1,1.7,0,0,-2.4,,,,,,,,,,,,,,,,,,,,,,,,,
Beno Udrih,DET,34,39,18,21,14.4,5.8,2.4,5.1,46.7,0.3,0.8,2.1,34.4,0.8,0.9,94.1,0.2,1.3,1.5,3.4,0.9,0.3,0,0.7,0,0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,
Bismack Biyombo,ORL,24,79,28,51,22.4,6,2.2,4.2,53,0,0,2.2,0,1.5,2.9,52.8,1.9,5.1,7.1,0.9,1.2,0.3,1.1,2.5,10,0,-4.1,,,,,,,,,,,,,,,,,,,,,,,,,
Blake Griffin,LAC,28,59,38,21,34.2,21.7,7.9,16,49.4,0.6,1.9,7.2,34.5,5.3,7,75.5,1.8,6.3,8.1,4.9,2.4,0.9,0.4,2.6,19,1,6.7,,,,,,,,,,,,,,,,,,,,,,,,,
Boban Marjanovic,DET,28,33,16,17,7.7,5.1,1.9,3.4,55.4,0,0,2.1,0,1.4,1.7,80.4,1.1,2.2,3.4,0.3,0.2,0.1,0.3,0.6,4,0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,
