TEAM,ORB/gm,FTA/gm,FGA/gm,TO/gm
Atlanta,10.3,25,84.6,15.2
Boston,9.1,23.2,85,12.7
Brooklyn,8.8,24.5,85.2,16
Charlotte,8.7,24,85.4,11
Chicago,12.2,22.6,87,13
Cleveland,9.4,23.3,85,13.1
Dallas,7.9,18.4,82.3,11.2
Denver,11.9,24.3,87.8,14.4
Detroit,11.1,19.4,88.5,11.4
Golden State,9.4,22.6,87.1,14.4
Houston,10.8,26.6,87.1,14.5
Indiana,9,22.1,84.6,13.3
LA Clippers,8.9,25.9,83.1,12.6
LA Lakers,11.4,22.7,87.3,14.6
Memphis,10.7,23.4,83.6,12.4
Miami,10.6,21.5,85.7,12.5
Milwaukee,8.8,22.7,81.9,13.3
Minnesota,11.5,24.3,84.3,13.4
New Orleans,8.6,22.3,87,12.3
New York,11.9,21,88.6,13.1
Oklahoma City,12.1,25.9,87.3,14.6
Orlando,9.9,21.5,87,12.8
Philadelphia,9.8,21.9,85.3,16
Phoenix,11.8,26.4,88.3,15
Portland,10.1,23.9,86.1,13.1
Sacramento,8.8,23.2,82.1,14.2
San Antonio,9.9,22.2,83.7,12.8
Toronto,10.6,24.8,84.3,11.9
Utah,9.4,23,79.3,12.9
Washington,10.3,22.3,87.1,13.5
